"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-04-22T18:29:15.032809001Z,igc-2025-06-14-otaa,22.2,"1,028",24.4,21.9,30.1%,21.3,,,,
2026-04-22T18:30:28.039307521Z,igc-2025-06-14-otaa,22.1,"1,028",24.4,21.9,30.0%,21.3,,,,
2026-04-22T18:31:41.173360976Z,igc-2025-06-14-otaa,22.4,"1,028",24.4,21.9,30.0%,21.3,,,,
2026-04-22T18:32:54.070304286Z,igc-2025-06-14-otaa,22.2,"1,028",24.4,21.9,29.9%,21.3,,,,
2026-04-22T18:34:07.112814753Z,igc-2025-06-14-otaa,22.3,"1,028",24.4,21.9,29.9%,21.3,,,,
2026-04-22T18:35:20.201290Z,igc-2025-06-14-otaa,22.3,"1,028",24.4,21.9,29.9%,21.3,,,,
2026-04-22T18:36:33.360055565Z,igc-2025-06-14-otaa,22.5,"1,028",24.4,21.9,29.8%,21.3,,,,
2026-04-22T18:37:46.554029648Z,igc-2025-06-14-otaa,22.5,"1,028",24.4,21.9,29.8%,21.3,,,,
2026-04-22T18:38:59.743074593Z,igc-2025-06-14-otaa,22.4,"1,028",24.4,21.9,29.8%,21.3,,,,
2026-04-22T18:40:13.018029255Z,igc-2025-06-14-otaa,22.5,"1,028",24.3,21.9,29.7%,21.3,,,,
2026-04-22T18:41:26.350770233Z,igc-2025-06-14-otaa,22.4,"1,028",24.3,21.9,29.7%,21.3,,,,
2026-04-22T18:42:39.703102443Z,igc-2025-06-14-otaa,22.3,"1,028",24.3,21.9,29.6%,21.3,,,,
2026-04-22T18:43:53.080223465Z,igc-2025-06-14-otaa,22.5,"1,028",24.3,21.9,29.6%,21.3,,,,
2026-04-22T18:45:06.566486842Z,igc-2025-06-14-otaa,22.5,"1,028",24.3,21.9,29.6%,21.3,,,,
2026-04-22T18:46:20.127709478Z,igc-2025-06-14-otaa,22.6,"1,028",24.3,21.9,29.5%,21.3,,,,
2026-04-22T18:47:32.998347186Z,igc-2025-06-14-otaa,22.6,"1,028",24.3,21.9,29.5%,21.3,,,,
2026-04-22T18:48:45.673272806Z,igc-2025-06-14-otaa,22.6,"1,028",24.3,21.9,29.5%,21.3,,,,
2026-04-22T18:49:58.440894312Z,igc-2025-06-14-otaa,22.8,"1,028",24.3,21.9,29.4%,21.3,,,,
2026-04-22T18:51:11.145680468Z,igc-2025-06-14-otaa,22.8,"1,028",24.3,21.9,29.4%,21.3,,,,
2026-04-22T18:52:23.892509170Z,igc-2025-06-14-otaa,22.8,"1,028",24.3,21.9,29.3%,21.3,,,,
2026-04-22T18:53:36.708417060Z,igc-2025-06-14-otaa,22.7,"1,028",24.3,21.9,29.3%,21.3,,,,
2026-04-22T18:54:49.587835418Z,igc-2025-06-14-otaa,22.8,"1,028",24.2,21.9,29.3%,21.3,,,,
2026-04-22T18:56:02.431915702Z,igc-2025-06-14-otaa,22.8,"1,028",24.2,21.9,29.2%,21.3,,,,
2026-04-22T18:57:15.344731289Z,igc-2025-06-14-otaa,22.8,"1,028",24.2,21.9,29.2%,21.3,,,,
2026-04-22T18:58:28.338765894Z,igc-2025-06-14-otaa,22.9,"1,028",24.2,21.9,29.2%,21.3,,,,
2026-04-22T18:59:41.383224315Z,igc-2025-06-14-otaa,22.8,"1,028",24.2,21.9,29.2%,21.3,,,,
2026-04-22T19:00:54.391191804Z,igc-2025-06-14-otaa,22.9,"1,028",24.2,21.9,29.1%,21.3,,,,
2026-04-22T19:02:07.509908399Z,igc-2025-06-14-otaa,22.9,"1,028",24.2,21.9,29.1%,21.3,,,,
2026-04-22T19:03:20.650181306Z,igc-2025-06-14-otaa,23.0,"1,028",24.2,21.9,29.1%,21.3,,,,
2026-04-22T19:04:33.822326675Z,igc-2025-06-14-otaa,23.1,"1,028",24.2,21.9,29.0%,21.3,,,,
2026-04-22T19:05:47.053612633Z,igc-2025-06-14-otaa,22.9,"1,028",24.2,21.9,29.0%,21.3,,,,
2026-04-22T19:07:00.285116143Z,igc-2025-06-14-otaa,23.1,"1,028",24.2,21.9,29.0%,21.3,,,,
2026-04-22T19:08:13.613499220Z,igc-2025-06-14-otaa,23.0,"1,028",24.2,21.9,28.9%,21.3,,,,
2026-04-22T19:09:27.004710616Z,igc-2025-06-14-otaa,22.7,"1,028",24.2,21.9,28.9%,21.3,,,,
2026-04-22T19:10:40.363510553Z,igc-2025-06-14-otaa,23.2,"1,029",24.1,21.9,28.9%,21.3,,,,
2026-04-22T19:11:53.801478835Z,igc-2025-06-14-otaa,23.2,"1,028",24.1,21.9,28.8%,21.3,,,,
2026-04-22T19:13:07.281019022Z,igc-2025-06-14-otaa,23.1,"1,028",24.1,21.9,28.8%,21.3,,,,
2026-04-22T19:14:20.733949277Z,igc-2025-06-14-otaa,23.2,"1,029",24.1,21.9,28.8%,21.3,,,,
2026-04-22T19:15:33.597404774Z,igc-2025-06-14-otaa,23.3,"1,029",24.1,21.9,28.8%,21.3,,,,
2026-04-22T19:16:46.293089411Z,igc-2025-06-14-otaa,23.3,"1,029",24.1,21.9,28.7%,21.2,,,,
2026-04-22T19:17:58.985244539Z,igc-2025-06-14-otaa,23.3,"1,029",24.1,21.9,28.7%,21.2,,,,
2026-04-22T19:19:11.698444619Z,igc-2025-06-14-otaa,23.3,"1,029",24.1,21.9,28.7%,21.2,,,,
2026-04-22T19:20:24.449376815Z,igc-2025-06-14-otaa,23.5,"1,029",24.1,21.9,28.7%,21.2,,,,
2026-04-22T19:21:37.332944580Z,igc-2025-06-14-otaa,23.5,"1,029",24.1,21.9,28.6%,21.2,,,,
