"date and time (zulu, UTC)",device id,BME 280,,,DS18B20,TEROS 11/12,,TEROS 11/12,TEROS 12,Battery,raw data
,,humidity (%),air pressure (hPa),temp (°C),temp (°C),vwc (m^3/m^3),temp (°C),perm (raw),econ (µS/cm),U (V),
2026-05-27T22:45:22.765369442Z,igc-2025-06-19-otaa,46.0,"1,029",23.1,21.2,28.6%,22.1,2530.81,111,9.1,"{""bme_hum"":46.04999923706055,""bme_pres"":1028.68994140625,""bme_temp"":23.1200008392334,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.81005859375,""soil_temp"":22.100000381469727,""vr_voltage"":9.14195442199707}"
2026-05-27T22:46:37.443246630Z,igc-2025-06-19-otaa,46.0,"1,029",23.1,21.2,28.6%,22.0,2530.80,110,9.1,"{""bme_hum"":45.95000076293945,""bme_pres"":1028.75,""bme_temp"":23.09000015258789,""ds_temp"":21.1875,""soil_econ"":110,""soil_perm"":2530.800048828125,""soil_temp"":22,""vr_voltage"":9.14310359954834}"
2026-05-27T22:47:52.159106475Z,igc-2025-06-19-otaa,46.3,"1,029",23.1,21.2,28.7%,22.0,2532.13,111,9.1,"{""bme_hum"":46.29999923706055,""bme_pres"":1028.719970703125,""bme_temp"":23.059999465942383,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.1298828125,""soil_temp"":22,""vr_voltage"":9.1408052444458}"
2026-05-27T22:49:06.866132222Z,igc-2025-06-19-otaa,46.2,"1,029",23.0,21.2,28.6%,22.0,2530.71,111,9.1,"{""bme_hum"":46.15999984741211,""bme_pres"":1028.8299560546875,""bme_temp"":23.020000457763672,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.7099609375,""soil_temp"":22,""vr_voltage"":9.138507843017578}"
2026-05-27T22:50:21.668927859Z,igc-2025-06-19-otaa,46.4,"1,029",23.0,21.2,28.6%,22.0,2531.30,111,9.1,"{""bme_hum"":46.40999984741211,""bme_pres"":1028.9100341796875,""bme_temp"":22.989999771118164,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.300048828125,""soil_temp"":22,""vr_voltage"":9.138507843017578}"
2026-05-27T22:51:36.505998989Z,igc-2025-06-19-otaa,46.5,"1,029",23.0,21.2,28.7%,22.0,2532.44,111,9.1,"{""bme_hum"":46.4900016784668,""bme_pres"":1028.8800048828125,""bme_temp"":22.950000762939453,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.43994140625,""soil_temp"":22,""vr_voltage"":9.138507843017578}"
2026-05-27T22:52:51.430559759Z,igc-2025-06-19-otaa,46.5,"1,029",22.9,21.2,28.5%,22.0,2529.17,111,9.1,"{""bme_hum"":46.54999923706055,""bme_pres"":1028.8800048828125,""bme_temp"":22.93000030517578,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2529.169921875,""soil_temp"":22,""vr_voltage"":9.138507843017578}"
2026-05-27T22:54:10.757418236Z,igc-2025-06-19-otaa,46.6,"1,029",22.9,21.2,28.7%,21.9,2532.46,111,9.1,"{""bme_hum"":46.560001373291016,""bme_pres"":1028.9100341796875,""bme_temp"":22.90999984741211,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.4599609375,""soil_temp"":21.899999618530273,""vr_voltage"":9.130464553833008}"
2026-05-27T22:55:25.850775594Z,igc-2025-06-19-otaa,46.5,"1,029",22.9,21.2,28.6%,21.9,2530.86,111,9.1,"{""bme_hum"":46.470001220703125,""bme_pres"":1028.9100341796875,""bme_temp"":22.8700008392334,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2530.860107421875,""soil_temp"":21.899999618530273,""vr_voltage"":9.133337020874023}"
2026-05-27T22:56:44.853498823Z,igc-2025-06-19-otaa,46.9,"1,029",22.9,21.2,28.6%,21.9,2531.30,111,9.1,"{""bme_hum"":46.900001525878906,""bme_pres"":1028.9599609375,""bme_temp"":22.860000610351562,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.300048828125,""soil_temp"":21.899999618530273,""vr_voltage"":9.126443862915039}"
2026-05-27T22:57:58.986014793Z,igc-2025-06-19-otaa,46.7,"1,029",22.9,21.2,28.5%,21.9,2529.26,111,9.1,"{""bme_hum"":46.7400016784668,""bme_pres"":1029.02001953125,""bme_temp"":22.850000381469727,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2529.260009765625,""soil_temp"":21.899999618530273,""vr_voltage"":9.131613731384277}"
2026-05-27T22:59:18.108395489Z,igc-2025-06-19-otaa,46.6,"1,029",22.8,21.2,28.7%,21.9,2532.52,111,9.1,"{""bme_hum"":46.619998931884766,""bme_pres"":1028.989990234375,""bme_temp"":22.829999923706055,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.52001953125,""soil_temp"":21.899999618530273,""vr_voltage"":9.121273040771484}"
2026-05-27T23:00:32.266929377Z,igc-2025-06-19-otaa,48.2,"1,029",22.8,21.2,28.7%,21.9,2532.12,111,9.1,"{""bme_hum"":48.15999984741211,""bme_pres"":1029.0999755859375,""bme_temp"":22.809999465942383,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.1201171875,""soil_temp"":21.899999618530273,""vr_voltage"":9.127017974853516}"
2026-05-27T23:01:46.451846712Z,igc-2025-06-19-otaa,47.0,"1,029",22.8,21.2,28.7%,21.9,2532.18,111,9.1,"{""bme_hum"":47.0099983215332,""bme_pres"":1029.0999755859375,""bme_temp"":22.780000686645508,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.179931640625,""soil_temp"":21.899999618530273,""vr_voltage"":9.127592086791992}"
2026-05-27T23:03:05.677627047Z,igc-2025-06-19-otaa,46.8,"1,029",22.8,21.2,28.6%,21.9,2531.22,111,9.1,"{""bme_hum"":46.779998779296875,""bme_pres"":1029.0699462890625,""bme_temp"":22.770000457763672,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.219970703125,""soil_temp"":21.899999618530273,""vr_voltage"":9.109783172607422}"
2026-05-27T23:04:19.992624119Z,igc-2025-06-19-otaa,47.1,"1,029",22.8,21.2,28.6%,21.9,2531.76,111,9.1,"{""bme_hum"":47.11000061035156,""bme_pres"":1029.1600341796875,""bme_temp"":22.75,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.760009765625,""soil_temp"":21.899999618530273,""vr_voltage"":9.118400573730469}"
2026-05-27T23:05:34.345175699Z,igc-2025-06-19-otaa,47.1,"1,029",22.7,21.2,28.7%,21.9,2532.11,111,9.1,"{""bme_hum"":47.060001373291016,""bme_pres"":1029.1300048828125,""bme_temp"":22.729999542236328,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2532.110107421875,""soil_temp"":21.899999618530273,""vr_voltage"":9.116676330566406}"
2026-05-27T23:06:48.691510920Z,igc-2025-06-19-otaa,47.0,"1,029",22.7,21.2,28.6%,21.9,2531.82,111,9.1,"{""bme_hum"":46.95000076293945,""bme_pres"":1029.2099609375,""bme_temp"":22.700000762939453,""ds_temp"":21.1875,""soil_econ"":111,""soil_perm"":2531.820068359375,""soil_temp"":21.899999618530273,""vr_voltage"":9.118400573730469}"
2026-05-27T23:08:03.150558450Z,igc-2025-06-19-otaa,47.1,"1,029",22.7,21.3,28.6%,21.9,2530.89,111,9.1,"{""bme_hum"":47.130001068115234,""bme_pres"":1029.2900390625,""bme_temp"":22.690000534057617,""ds_temp"":21.25,""soil_econ"":111,""soil_perm"":2530.889892578125,""soil_temp"":21.899999618530273,""vr_voltage"":9.110931396484375}"
